,Start values,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Percentage monthly,0.0,-0.247,-0.069,0.033326417,-0.19,-0.291,-0.344883721,-0.007367152964090714,0.4144130578501766,-0.1399937740745363,-0.09043575860641077,-0.04996690064222798,0.16922396710237753,0.25866690550120536,-0.04655108921313857,-0.24963007736809467,-0.34797531824621586,0.170382270232044,-0.1798161819414032,0.45728453340913383,0.03461466532908792,-0.03974069740412932,-0.023456286439482554,-0.05520427074302398,0.5527718195584016,-0.21289334429599036,-0.20470621232726502,0.3726868035761487,0.41690838962685395,0.07001560968192341,-0.16979632181282409,-0.02154883309397504,0.09222836889764906,0.16934495817469103,0.34683264602419017,0.48286149815322255,0.15744533761009008,0.06113007417167525,0.26124878719021905,-0.18050138970258864,-0.3459839466077075,-0.18619973351145927,0.39373788644015284,0.06937238130751602,-0.22344170963069557,0.05972909413978639,0.47101871057867195,0.44944967156425064,0.9984960813538655
Inflow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0
Outflow,0.0,-449112.93,-86872.69,0.0,-89549.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0
Performance fee input,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Performance fee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24666.25542198118,0.0,118105.06196549532,22121.414440276672,0.0,0.0,0.0,484061.0935307314,0.0,0.0,165328.89325909966,795128.7803107653,237665.33387576454,0.0,0.0,58782.303180032526,328756.17417873594,1733901.6339710422,3127655.1716961763,1437067.2321283012,635718.6295729538,2799008.5760087697,0.0,0.0,0.0,38144.66060511291,16646.858307838535,0.0,4416.472231014113,131847.82812913443,1767045.410996757,11671668.925773088
Cum Performance fee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24666.25542198118,24666.25542198118,142771.3173874765,164892.7318277532,164892.7318277532,164892.7318277532,164892.7318277532,648953.8253584846,648953.8253584846,648953.8253584846,814282.7186175843,1609411.4989283495,1847076.832804114,1847076.832804114,1847076.832804114,1905859.1359841465,2234615.3101628823,3968516.9441339243,7096172.115830101,8533239.347958403,9168957.977531357,11967966.553540125,11967966.553540125,11967966.553540125,11967966.553540125,12006111.214145238,12022758.072453076,12022758.072453076,12027174.54468409,12159022.372813225,13926067.783809982,25597736.70958307
Fund value,3129158.0,1907143.044,1688677.4839640001,1744955.0539730953,1323864.3837182072,938619.848056209,614905.142254129,610375.0420127369,863322.4296086652,742462.6644445499,675317.49014857,641573.9682163576,750143.6603075443,1294180.9996006442,1583935.4644302856,1538537.5318984846,1353164.4446023619,1909053.419249014,1915774.7222774753,3023723.810305648,3456267.5836066958,3668913.099418881,3932854.022837342,4065743.684567839,6179111.12541375,5713619.493147857,5394006.088026331,8088952.08218405,11516175.288225424,12934821.988358662,11588536.79143172,12188817.34630977,14104189.785771258,17013907.04095186,22030983.80520375,30391242.47947764,34589134.67992081,35667852.41886547,41787027.028965026,33844410.57869721,21734787.836067904,17287776.13306395,23656483.908341963,24880943.672118735,18921503.08079549,19647250.847343564,28369625.779745918,38953299.35785666,65776347.196707495
Lead serie,3129158.0,1907143.044,1688677.4839640001,1744955.0539730953,1323864.3837182072,938619.848056209,614905.142254129,610375.0420127369,863322.4296086652,742462.6644445499,675317.49014857,641573.9682163576,750143.6603075443,846113.5482359881,736937.4538906959,503852.5072771658,295741.0041912678,320914.79854936496,244096.98812884642,338906.3967623311,336053.0228107212,310023.0458592872,291628.28349625895,265725.578427454,402832.3003928751,296326.6972950552,219397.08635748483,286972.64126223506,392964.8002766962,407865.524465452,327313.61753733887,310084.3631343332,329342.6594427512,376269.0261742038,497734.41872236505,722311.8363692606,792714.333898149,811809.4440959953,945480.5130704868,760219.5437374427,482758.42480460845,378632.78832935443,513602.79798414593,535249.5674089312,401848.0245722082,412212.60368281085,592790.537629104,812268.3650749696,1366430.2344436042
"Serie1, year1 %",0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Serie2, year2 %",0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
