,Start values,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Percentage monthly,0.0,-0.0028091769289032634,0.036743479820527655,-0.16449721473363263,0.1373020967185449,0.10066027430711603,-0.042856480387994306,0.06304669323146879,0.1406062584130974,-0.24036437835731472,0.0005559722088892237,0.2408967695307428,0.01375036150982099,-0.009972858190880698,-0.0865811597646138,0.16035118567707188,0.21200503579271085,0.07327307143787964,0.32656584550325224,-0.26597110691600706,0.1692351309571868,0.07883278091197865,-0.14198918538954663,-0.0639672309948736,-0.10876400862792845,-0.15678489016751024,0.03291508299578161,0.26088257179762675,0.12718025712969952,-0.09553689977605538,0.4263273253715305,0.20638424202038738,-0.03144266598698106,-0.03037850452335498,-0.118179300961097,-0.042514126500859145,-0.21388348632129942,0.010821745593049058,-0.002742314567967849,0.09808598576717427,-0.0908982034684019,-0.022592287223714775,0.05859410006786915,-0.13782753699512434,-0.10459361096650749,0.25358977126630217,-0.04247457497734483,0.20238221500844783,0.03486317700912739
Inflow,0.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
Performance fee input,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Performance fee,0.0,0.0,0.0,13.379793500320318,0.0,0.0,0.0,0.0,109.699762849525,7.89283546351303,0.0,0.0,0.0,0.0,8.658115976461374,8.14691131711479,528.7993566023063,213.76076409695418,1008.5416071615062,0.0,0.0,0.0,0.0,6.39672309948736,30.907697786873598,58.03494044185953,0.0,0.0,0.0,0.0,227.25814343636813,841.4213800519021,0.0,3.0378504523354994,23.3486513579143,11.856798689556864,79.00970617705437,0.0,0.0,0.0,0.17280575928908776,11.18794539405733,0.0,64.5783150467084,88.42828575666648,0.0,0.0,0.0,0.0
Cum Performance fee,0.0,0.0,0.0,13.379793500320318,0.0,0.0,0.0,0.0,0.0,7.89283546351303,0.0,0.0,0.0,0.0,8.658115976461374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39672309948736,37.30442088636096,95.33936132822049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0378504523354994,26.386501810249797,38.243300499806665,117.25300667686103,0.0,0.0,0.0,0.17280575928908776,11.360751153346417,0.0,64.5783150467084,153.00660080337488,0.0,0.0,0.0,0.0
Fund value,10000.0,9471.908230710967,0.0,7273.455282768492,0.0,0.0,7209.2734907166805,0.0,0.0,5235.992330069054,0.0,0.0,0.0,4405.0633344208045,3515.0097261136134,0.0,0.0,0.0,0.0,1145.0591717914162,0.0,0.0,-152.52984215953774,-649.1696536119948,-1109.4710575924285,-1493.5577001256286,0.0,0.0,0.0,-4087.8124831031723,0.0,0.0,-9461.739660237896,-9677.344009622884,-9057.030910763508,-9183.835951590669,-7798.5748066386195,0.0,-8859.98026117514,0.0,-9799.39340903704,-10089.190643915954,0.0,-10203.974842003816,-9725.132552823905,0.0,-12652.267985269435,0.0,0.0
Lead serie,10000.0,9971.908230710967,10338.31083955825,8637.687501400394,9823.660106142239,10812.51242712639,10349.126200348304,11001.60438511542,12438.7990513981,9448.95484989724,9454.208206196832,11731.696421540688,11893.011488460344,11774.404171423415,10754.96260272427,12471.38669666656,14586.584123075783,15441.6271794636,19475.793608109623,14295.79522409301,16715.14600097952,18032.847443586474,15472.378124817662,14482.652939267422,12907.461550025646,10883.766608563514,11242.006689791098,14174.850307189923,15977.61141403334,14451.159953710077,20384.826181855096,23750.511702062704,23003.732295594862,22304.913309999087,19668.93424702553,18832.726688310406,14804.717447278397,14964.930333069819,14923.891786608818,16387.71642398098,14898.102442091484,14561.520232631427,15414.739406282533,13290.163840492927,11900.097614079265,14917.840646080294,14284.211705058275,17175.082109577565,17773.860037310063
"Serie1, year1 %",0.2,-500.0,-518.3717399102638,-446.48082599871873,-507.78357955297065,-558.897213959422,-534.9448464704653,-568.671350101644,-648.6301009061607,-492.72252991800906,-492.9964699513371,-611.7577269526741,-620.1696168546997,-613.984753211515,-560.8252412006718,-650.7542335848293,-788.7174081682391,-846.5091551612496,-1122.9501331427268,-824.2778432192782,-963.7746119616004,-1039.7516447948965,-892.1181557430278,-835.051827599893,-744.2282434180509,-627.5445000141927,-648.2001793157061,-817.3043091352703,-921.2492813243055,-833.2359810656623,-1188.4672482767094,-1433.7481604783536,-1388.6672959589841,-1346.481660227259,-1187.3553988646643,-1136.8760212358538,-893.7170142988418,-903.3885924597632,-900.9112167621249,-989.2779815469424,-899.3543902934784,-879.0359175920593,-930.5422361106996,-802.2878916376264,-718.373704016541,-900.5459273018218,-862.295621792098,-1036.8089197224695,-1072.955372615396
"Serie2, year2 %",0.2,0.0,-500.0,-417.7513926331837,-475.10953474881194,-522.9341908425537,-500.5230719484981,-532.0793965209075,-606.8930896444111,-461.0176094226822,-461.2739224013298,-572.3933201765848,-580.2639352548194,-574.4770453152407,-524.7381564736986,-608.880542034257,-737.9662831417148,-792.0393393251042,-1050.692335843644,-771.238532251145,-901.7591862558961,-972.8473706213713,-834.7135649584804,-781.319249534227,-696.3398359367197,-587.1642712401191,-606.4908319601452,-764.7137199735901,-861.9702075104403,-779.6202461855697,-1111.9936605473579,-1341.4916293109004,-1299.3115560861468,-1259.8404141023364,-1110.9533546411833,-1063.722143185414,-836.2095427237533,-845.2587896575897,-842.9408241650088,-925.6215058466281,-841.4841738734527,-822.4731217230934,-870.6651941204691,-750.6635548674631,-672.14894304292,-842.5990397660609,-806.8100036756786,-970.0939993105362,-1003.9145581239918
"Serie3, year3 %",0.2,0.0,0.0,-500.0,-568.6510483592725,-625.8916188721461,-599.0681069829419,-636.8373701486522,-726.380689982891,-551.7846469843961,-552.0914239134112,-685.0884644197798,-694.5086784717598,-687.582441909025,-628.0507566547564,-728.7594401497287,-883.2601113429478,-947.979292579609,-1257.556951780444,-923.0831373054796,-1079.3012329317432,-1164.38555056548,-999.0553947613287,-935.1485875479561,-833.4380785034951,-702.7675809039039,-725.8992341561005,-915.2736932286716,-1031.6784368775438,-933.1150774524565,-1330.927532686611,-1605.6100027042014,-1555.1253436838174,-1507.8829613963346,-1329.682407087367,-1273.1521210264877,-1000.8459067639857,-1011.67680654483,-1008.9024705001669,-1107.8616638621133,-1007.1590289255327,-984.4050028640894,-1042.0853281092188,-898.4572739971693,-804.4843834106805,-1008.4933941871071,-965.6580659015499,-1161.0900842194792,-1201.5693733491655
"Serie4, year4 %",0.2,0.0,0.0,0.0,-500.0,-550.3301371535581,-526.7449244237145,-559.9544500850897,-638.6875501933176,-485.1698142265446,-485.4395551598465,-602.3803758002945,-610.6633237339703,-604.5732650039995,-552.228610557274,-640.7791230249348,-776.627523937058,-833.5334079791215,-1105.7369501110306,-811.6428695320701,-949.001356847797,-1023.8137728973498,-878.4432892930569,-822.2517044909514,-732.8203130093686,-617.9251607216744,-638.26421867201,-804.7762295255667,-907.1278773284984,-820.4636922280997,-1170.249783700156,-1411.770898283635,-1367.3810574787624,-1325.842065838994,-1169.154977313325,-1119.4493747087172,-880.0176396858182,-889.5409666998936,-887.1015655481083,-974.1137970804981,-885.5686029520974,-865.5615827178998,-916.2783847105756,-789.9899917440459,-707.3620858801347,-886.7418754409325,-849.0778911669653,-1020.9161554960375,-1056.5085361365736
"Serie5, std dev",4.0,0.0,0.0,0.0,0.0,-500.0,-478.5717598060029,-508.74412673573613,-580.2767348856866,-440.7988782296762,-441.04395015568144,-547.2900129692631,-554.815448498305,-549.2823527083216,-501.72484957259945,-582.1770240852163,-705.6014849140964,-757.3030729248809,-1004.6123912368057,-737.4145215180157,-862.2109646368484,-930.1814527119709,-798.105745976933,-747.0531313656907,-665.8006381403117,-561.4131582160247,-579.892118913629,-731.1758662609917,-824.1670009390955,-745.428640771645,-1063.2252394471557,-1282.6581745874018,-1242.3279820283792,-1204.5879158068396,-1062.2305579706026,-1017.0707536559622,-799.5361150285936,-808.1884914578878,-805.9721843840989,-885.026760590336,-804.579418031215,-786.4021287247646,-832.4806537488487,-717.741895646554,-642.6706790389346,-805.6453895359772,-771.4259440329791,-927.5488353013563,-959.8861345310776
