,Start values,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Percentage monthly,0.0,-0.247,-0.069,0.033326417,-0.19,-0.291,-0.344883721,-0.14134920436891238,-0.177735178110086,-0.10532759040870414,0.4376571033892974,0.12841254318973253,0.1935379483813649,-0.012740654319768133,-0.2174133862951699,-0.028005941960100707,-0.09094262805446585,-0.17387369967294888,0.4318184935868082,-0.4098113606947311,0.19298049598307027,0.2560307918467342,0.5378726666783871,0.061652168043424174,0.0037764881037440495,-0.05479154918359594,-0.041764409747125336,-0.1580294702881723,0.001845935146391503,0.42786074184396516,0.431014787845851,-0.08913560658737177,-0.2085358698497907,0.021672543057890986,0.4910784313568156,0.18156018672849686,0.5426732994796867,0.34746517773544805,0.17210670478209109,-0.2319752067306445,-0.10501384936967914,-0.2940890376848374,0.41725551386310045,0.10842504017484458,0.17054778118117506,0.30865335255778115,0.2801925002559334,0.25240536368926847,0.03186303429642956
Inflow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,1250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0
Outflow,0.0,-449112.93,-86872.69,0.0,-89549.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-150000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-400000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0,-650000.0
Performance fee input,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Performance fee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106077.95731051752,0.0,27712.298234624013,75649.55844775392,479093.1111718626,96063.48429287785,7502.643320029505,0.0,0.0,0.0,1753.644658993464,570685.2024289595,1483705.626597898,0.0,0.0,8221.679063334082,868412.2805645154,1141049.7779497157,4020518.7030332573,3686208.039919171,2251301.64246098,0.0,0.0,0.0,30598.35749957077,25664.23601619352,66207.5272807784,2347330.3249905193,4164357.625682821,4456059.931169898,659588.3744990155
Cum Performance fee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106077.95731051752,106077.95731051752,133790.25554514152,209439.81399289545,688532.925164758,784596.4094576358,792099.0527776653,792099.0527776653,792099.0527776653,792099.0527776653,793852.6974366588,1364537.8998656184,2848243.5264635165,2848243.5264635165,2848243.5264635165,2856465.2055268507,3724877.486091366,4865927.264041082,8886445.967074338,12572654.00699351,14823955.64945449,14823955.64945449,14823955.64945449,14823955.64945449,14854554.00695406,14880218.242970254,14946425.770251032,17293756.09524155,21458113.72092437,25914173.652094267,26573762.026593283
Fund value,3129158.0,1907143.044,1688677.4839640001,1744955.0539730953,1323864.3837182072,938619.848056209,614905.142254129,527988.789634155,434146.6080683997,388418.9919564431,558413.3228774908,630120.5978192186,752072.8455539893,1092490.9454055014,1204968.7894680798,1521222.5034865038,1732878.5311638473,1781576.5298665636,2794816.265892639,1999468.8090754095,2707614.9933188367,3675198.245626594,5522893.815401638,6117328.708701888,6482928.084476964,6977718.411482628,7536298.120645407,7195340.920706065,8056869.408742875,11783402.328478588,16228517.356592199,15631978.617998663,13222150.359420985,14350486.303340109,21379288.325827323,24969866.128437188,35349827.06488901,43546452.96898884,48389787.85196885,36764556.811356336,32503769.180225547,22544766.980882935,31521096.95491554,34513108.92259124,39933035.54372262,49511170.517111115,58819471.54921551,68809761.72643591,69942661.1497555
Lead serie,3129158.0,1907143.044,1688677.4839640001,1744955.0539730953,1323864.3837182072,938619.848056209,614905.142254129,527988.789634155,434146.6080683997,388418.9919564431,558413.3228774908,630120.5978192186,752072.8455539893,652853.5583302362,454354.35686870967,401991.4104035768,336320.92130802094,256267.12431138425,348237.80917424953,191183.43202842693,216105.98338804895,260791.78112619877,390459.7909425515,404611.21163489163,396954.6072109757,354862.25404687185,322903.0896467862,257556.90348977852,245827.71006536286,339483.6079118551,474119.96865088877,421084.05818831874,323486.7217201039,321535.15299947455,470628.80928575253,547308.7557293539,792750.6720855177,971043.1365198117,1073543.8843625868,810184.2050278306,710887.5408515732,487760.4312697753,677314.190400432,736874.145780191,848731.3835002931,1048303.5641121222,1240153.4767924706,1445567.6998245989,1464164.1673185718
"Serie1, year1 %",0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Serie2, year2 %",0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
